,Field1,Prediccion
0,1,no torrencial
1,4,no torrencial
2,6,no torrencial
3,10,no torrencial
4,12,no torrencial
5,15,no torrencial
6,21,no torrencial
7,26,no torrencial
8,37,torrencial
9,45,no torrencial
10,49,no torrencial
11,52,no torrencial
12,54,torrencial
13,55,torrencial
14,56,torrencial
15,59,torrencial
16,60,torrencial
17,65,torrencial
18,71,torrencial
19,74,torrencial
20,75,torrencial
21,76,torrencial
22,78,torrencial
23,90,torrencial
24,96,torrencial
25,100,torrencial
26,102,torrencial
27,107,torrencial
28,113,torrencial
29,118,torrencial
30,124,torrencial
31,132,torrencial
32,134,torrencial
33,135,torrencial
34,141,torrencial
35,153,torrencial
36,154,torrencial
37,155,torrencial
38,157,torrencial
39,160,torrencial
40,164,torrencial
41,170,torrencial
42,171,torrencial
43,179,torrencial
44,186,torrencial
45,188,torrencial
46,191,torrencial
47,196,torrencial
48,198,torrencial
49,206,torrencial
50,208,torrencial
51,221,torrencial
52,229,torrencial
53,230,torrencial
54,231,torrencial
55,233,torrencial
56,235,torrencial
57,236,torrencial
58,240,torrencial
59,246,torrencial
60,247,torrencial
61,252,no torrencial
62,255,no torrencial
63,261,no torrencial
64,263,no torrencial
65,271,no torrencial
66,272,no torrencial
67,281,no torrencial
68,282,no torrencial
69,289,no torrencial
70,293,no torrencial
71,297,no torrencial
72,302,no torrencial
73,303,no torrencial
74,308,no torrencial
75,310,no torrencial
76,311,no torrencial
77,317,no torrencial
78,320,no torrencial
79,331,torrencial
80,336,torrencial
81,342,no torrencial
82,343,torrencial
83,345,torrencial
84,346,torrencial
85,350,torrencial
86,351,torrencial
87,352,torrencial
88,353,torrencial
89,361,torrencial
90,371,torrencial
91,374,torrencial
92,377,torrencial
93,382,torrencial
94,383,torrencial
95,390,torrencial
96,391,torrencial
97,395,torrencial
98,397,torrencial
99,399,torrencial
100,400,torrencial
101,409,torrencial
102,414,torrencial
103,416,torrencial
104,421,torrencial
105,425,torrencial
106,429,torrencial
107,430,torrencial
108,434,torrencial
109,436,torrencial
110,441,torrencial
111,454,no torrencial
112,457,torrencial
113,464,torrencial
114,465,no torrencial
115,467,torrencial
116,468,torrencial
117,471,torrencial
